raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
997.447,5604.35,1316.697,1515.05
999.913,14243.5,1319.068,1522.9
1002.378,34085.1,1321.439,1486.85
1004.842,37948.65,1323.81,1466.6
1007.305,37871.0,1326.179,1502.85
1009.768,35984.75,1328.548,1563.1
1012.23,25176.6,1330.916,1642.1
1014.691,8091.05,1333.284,1676.0
1017.152,3762.5,1335.65,1664.05
1019.612,2841.0,1338.017,1635.55
1022.071,2630.25,1340.382,1550.25
1024.529,3053.1,1342.747,1507.85
1026.987,5701.5,1345.111,1457.1
1029.444,11033.85,1347.474,1431.2
1031.9,11889.35,1349.837,1442.55
1034.355,11805.1,1352.199,1453.75
1036.81,11132.35,1354.56,1478.75
1039.264,7859.95,1356.92,1524.95
1041.717,3350.3,1359.28,1579.05
1044.17,2176.0,1361.64,1618.15
1046.622,1884.65,1363.998,1730.4
1049.073,1737.75,1366.356,1838.1
1051.523,1635.85,1368.713,2033.9
1053.973,1565.25,1371.07,2282.95
1056.422,1506.25,1373.425,2820.05
1058.87,1469.95,1375.78,3725.85
1061.317,1455.9,1378.135,4620.25
1063.764,1422.85,1380.489,5016.2
1066.21,1416.4,1382.842,5020.5
1068.655,1412.75,1385.194,4608.45
1071.1,1401.45,1387.546,3783.7
1073.544,1418.2,1389.897,2925.65
1075.987,1439.95,1392.247,2404.2
1078.429,1454.95,1394.597,2139.0
1080.871,1490.45,1396.946,1953.5
1083.312,1514.8,1399.294,1856.95
1085.752,1491.5,1401.641,1724.05
1088.191,1457.85,1403.988,1702.4
1090.63,1416.75,1406.335,1704.45
1093.068,1355.1,1408.68,1685.4
1095.505,1306.45,1411.025,1697.9
1097.942,1287.8,1413.369,1740.1
1100.378,1264.6,1415.713,1756.75
1102.813,1252.35,1418.055,1820.85
1105.248,1261.15,1420.398,1845.35
1107.681,1252.8,1422.739,1906.6
1110.114,1238.35,1425.08,1985.75
1112.547,1256.05,1427.42,2078.05
1114.978,1218.65,1429.759,2160.6
1117.409,1218.55,1432.098,2236.15
1119.839,1215.0,1434.436,2316.2
1122.269,1233.75,1436.773,2391.35
1124.697,1236.45,1439.11,2438.3
1127.125,1248.5,1441.446,2475.25
1129.552,1287.05,1443.781,2447.8
1131.979,1308.35,1446.116,2437.7
1134.405,1360.3,1448.45,2393.2
1136.83,1399.85,1450.783,2348.8
1139.254,1482.5,1453.116,2286.35
1141.678,1573.15,1455.448,2236.0
1144.101,1672.5,1457.779,2186.45
1146.523,1853.2,1460.11,2134.0
1148.945,2130.25,1462.44,2089.0
1151.366,2639.8,1464.769,2050.85
1153.786,3278.35,1467.098,2015.7
1156.205,3786.15,1469.426,1952.0
1158.624,4012.3,1471.753,1920.3
1161.042,3941.7,1474.08,1882.2
1163.459,3622.25,1476.405,1855.1
1165.876,3117.3,1478.731,1811.8
1168.291,2708.85,1481.055,1790.7
1170.707,2531.05,1483.379,1780.2
1173.121,2601.4,1485.702,1740.6
1175.535,2949.75,1488.025,1752.1
1177.948,3386.15,1490.347,1783.1
1180.36,3626.3,1492.668,1847.2
1182.772,3688.85,1494.989,1901.2
1185.182,3544.65,1497.308,1890.4
1187.593,3158.2,1499.628,1887.65
1190.002,2717.1,1501.946,1849.75
1192.411,2439.1,1504.264,1759.55
1194.819,2320.15,1506.581,1694.9
1197.226,2328.9,1508.898,1628.25
1199.633,2457.6,1511.213,1614.5
1202.039,2799.4,1513.529,1591.35
1204.444,3832.3,1515.843,1549.55
1206.848,6577.05,1518.157,1553.3
1209.252,10162.4,1520.47,1544.65
1211.655,11286.0,1522.783,1550.65
1214.058,11075.5,1525.095,1541.1
1216.459,9858.75,1527.406,1525.55
1218.86,6871.85,1529.716,1536.7
1221.261,3542.45,1532.026,1518.15
1223.66,2259.05,1534.335,1524.2
1226.059,1835.9,1536.644,1518.55
1228.457,1629.7,1538.952,1527.2
1230.855,1530.95,1541.259,1523.4
1233.251,1465.0,1543.565,1524.2
1235.647,1415.6,1545.871,1531.85
1238.043,1406.8,1548.176,1542.2
1240.437,1378.75,1550.481,1566.6
